word,prefab
jus d'orange,default
pâte,default
riz,default
semoule,default
bonbon,default
chocolat,default
farine,default
sucre,default
lentille,default
conserve,default
légume,default
fruit,default
pomme,default
poire,default
fraise,default
pêche,default
abricot,default
melon,default
pasteque,default
courgette,default
tomate,default
poivron,default
pomme de terre,default
pommes de terre,default
patate,default
salade,default
noix,default
cacahuete,default
