word,prefab
livre,default
guide de voyage,default
smartphone,default
téléphone,default
écouteur,default
enceinte,default
figurine,default
guitare,default
vinyle,default
appareil photo,default
film,default
ordinateur portable,default
vélo,default
trotinette ,default
carte postale,default
enveloppes,default
cartouche d'encre,default
